Group,ln_area_m2,ln_csf
digitate,-2.797474297,1.461954515
digitate,-2.499423817,0.680943504
digitate,-3.985888904,0.118841503
digitate,-2.269898474,0.946262882
digitate,-2.68948698,1.254239924
digitate,-4.305389785,0.864590783
digitate,-4.719854574,0.280366601
digitate,-5.887123886,0.997367261
digitate,-4.58827639,0.504239704
digitate,-3.741557864,1.021757695
digitate,-4.251458732,-0.132536879
digitate,-2.817940335,-0.603187649
digitate,-4.25555969,0.736217723
digitate,-3.9535117,1.463841572
digitate,-2.710860669,0.819418315
digitate,-4.998734896,1.708630348
digitate,-2.93227911,0.990440436
digitate,-5.48117038,3.147101229
digitate,-2.7119641,4.354620984
digitate,-4.499488669,2.98432359
digitate,-4.571260807,3.260789942
digitate,-1.811886161,0.861795358
digitate,-3.457761534,2.343423526
digitate,-2.382093637,2.928893526
digitate,-2.61561869,1.751745943
digitate,-3.477621333,2.819069751
digitate,-2.637310854,1.661087017
digitate,-2.545937852,2.537168162
digitate,-4.147349974,0.89008118
digitate,-5.023273055,2.84118347
massive,-3.238585121,0.306523834
massive,-3.876713659,-1.195503139
massive,-4.394857274,-0.55366459
massive,-4.796767832,-0.09920051
massive,-2.041546133,-0.070644901
massive,-4.298487333,-0.311724272
massive,-5.359441418,0.127628838
massive,-3.295223246,-0.560199811
massive,-6.021788444,-0.147919214
massive,-4.221371818,0.868184976
massive,-2.881978474,0.161603492
massive,-3.260524987,0.009413761
massive,-2.342519512,0.030152851
massive,-4.76434558,0.469337532
massive,-3.425795669,-0.041148175
massive,-2.561237977,-1.08942374
massive,-3.839611332,1.049917925
massive,-5.537078074,-0.020532478
massive,-5.393122104,0.583784783
massive,-5.183657193,-0.56915201
massive,-3.255606423,-1.574877487
massive,-4.588197104,0.720453123
massive,-3.335919583,0.304274711
massive,-3.090370011,0.633045256
massive,-4.662130792,0.627713375
massive,-3.130159652,0.058678823
massive,-3.887789104,0.699361988
massive,-4.652063517,0.951305331
massive,-4.49423954,0.015342018
massive,-4.4135123,0.221306123
massive,-3.573621772,0.610027718
massive,-3.653930648,1.4150656
massive,-5.762268523,-0.461643249
massive,-3.060787483,-0.755439514
massive,-4.853581533,0.034303216
massive,-4.151898302,0.642503917
massive,-5.014576762,0.179112283
massive,-3.340423303,-0.100763589
massive,-2.652492294,0.404035284
massive,-2.054902875,0.169194687
massive,-1.404545308,-0.065752993
massive,-2.784867686,-0.129138074
massive,-1.83785331,0.14121051
massive,-2.198060426,0.08105536
massive,-2.824903327,-0.551034492
massive,-4.463605968,-0.468642748
massive,-2.550835239,-0.734688065
massive,-2.224676175,-0.345042293
massive,-5.10331533,0.467791103
massive,-4.353423007,-0.420957377
massive,-3.825585862,-0.000832168
massive,-3.173393029,-0.43658682
massive,-2.799318225,0.021836065
massive,-3.114627127,0.483572276
massive,-3.61201828,0.250128621
massive,-1.833087049,-1.077372417
massive,-3.465901388,-1.167641636
massive,-3.282566424,0.091783885
massive,-2.69712482,0.75425022
massive,-1.591065491,-1.573008456
massive,-1.327154056,-1.922134774
massive,-2.490517022,-0.390071437
massive,-4.512279551,-0.25493016
massive,0.471838749,-1.703536827
massive,-4.249232697,0.016750618
massive,-3.394083555,-0.032111249
massive,-3.214287713,-0.129237785
massive,-4.097491567,0.598038687
massive,-0.097636393,-0.735323924
massive,-2.935536948,-0.101443098
massive,-3.596152051,0.069501292
massive,-1.461582899,-0.669463608
massive,-1.541917494,-0.480615007
massive,-1.456684335,-0.743611717
massive,-2.567570568,-1.092559934
massive,-2.212364795,-0.604020777
massive,-4.1599438,-0.359498567
massive,-0.038063571,-0.962397478
massive,0.368207149,-1.791344259
massive,1.423173457,-0.848323165
massive,-3.926284896,-0.137922041
massive,-2.001150553,-0.980746604
massive,-4.646499776,-0.325387332
massive,-3.118727311,-1.10742216
massive,1.189852838,-1.118129396
massive,-2.827050406,-0.515862808
tabular,-4.674382562,4.279310645
tabular,-3.246628363,3.795932887
tabular,-3.841573714,3.152774298
tabular,-2.785765774,2.033326639
tabular,-4.869436179,1.579284993
tabular,-2.750787602,2.603729123
tabular,-2.722856928,3.184048994
tabular,-3.101807185,2.61763394
tabular,-1.124678133,3.060296735
tabular,-2.479697825,3.180234577
tabular,-1.654030602,3.257212446
tabular,-3.908117714,2.655356763
tabular,-3.123639657,3.066578871
tabular,-1.098740106,2.579861786
tabular,-2.916510953,2.282600779
tabular,-1.184343505,3.482634146
tabular,0.217527813,3.998261415
tabular,-0.30282705,4.153641875
tabular,-3.797980869,3.563671666
tabular,-4.126387434,3.304415009
tabular,-2.590191836,3.216778652
tabular,-4.441678403,2.049693475
tabular,-3.806337688,2.800218938
tabular,-5.779890564,1.939577584
tabular,-3.093603924,2.385408205
tabular,-3.970930601,2.728459435
tabular,-2.717261271,2.756450143
tabular,-3.084869012,2.510585249
tabular,-4.777715916,1.857361495
tabular,-3.428081512,2.528590402
tabular,-1.140826388,2.180013481
tabular,-2.138906153,2.715362816
tabular,-0.237664459,3.975073058
tabular,-1.120001044,2.856904935
tabular,-2.622091974,3.418944358
tabular,-4.694720999,2.782807148
tabular,-2.951217652,2.972788529
tabular,-2.271945732,3.666152301
tabular,-6.268146837,1.704429972
tabular,-1.777150017,5.762838271
tabular,-1.618069391,5.840100121
tabular,-1.196673502,4.021308468
tabular,-1.632443441,4.951422792
tabular,-0.658294944,4.692410004
tabular,-3.534003612,3.796769112
tabular,-1.740029445,3.481973678
tabular,-1.717755274,4.574122554
tabular,-3.672628219,3.795503178
tabular,0.040145931,3.498977667
tabular,-4.900075098,2.628160566
tabular,-2.218999607,3.53149463
tabular,-2.374035764,3.463840407
tabular,-1.295858287,4.240981271
tabular,-0.75138133,3.953036704
tabular,-1.822547471,4.69947867
tabular,-1.957151068,4.641496629
tabular,-1.439067515,5.383373218
tabular,0.072286357,4.783941313
tabular,-4.240429127,1.735284031
tabular,-1.463979953,4.231128216
tabular,-2.954130937,4.805922121
tabular,-2.582081864,3.28979211
tabular,-1.916572976,4.495361009
tabular,-2.125924835,4.39986285
tabular,-4.166590348,3.339875028
tabular,-5.838398183,1.671973275
tabular,-1.075362211,4.154485007
tabular,-2.739729119,4.443877525
tabular,-2.310467135,3.390326052
tabular,-0.018165523,4.061149166
tabular,-1.487079798,5.678542568
tabular,-3.760029483,4.435141883
tabular,-3.374297921,3.806731652
tabular,-3.39934323,4.210053337
tabular,-2.410468884,3.624045743
tabular,-2.345947623,3.809941311
